2024-12-05 21:07:58,376 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '72.34.249.209', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,447 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '50.116.239.135', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,468 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '72.34.249.209', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,521 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '35.244.159.8', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,622 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,709 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,846 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '104.120.70.42', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,858 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '23.218.88.23', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,911 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '35.213.7.90', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,925 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,925 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '69.173.158.64', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,959 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:59,230 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '131.153.206.101', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:59,491 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '131.153.206.101', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:59,714 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:59,967 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:00,225 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '162.247.241.14', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:00,289 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '69.173.158.64', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:00,888 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '104.18.27.193', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:01,355 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:01,603 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:01,725 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:01,910 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '37.157.6.237', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:01,990 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:02,559 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '142.250.199.162', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:02,639 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '142.250.199.162', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:02,746 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '142.250.199.162', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:02,885 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '142.250.199.162', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:02,950 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '142.250.199.162', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:03,025 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '142.250.199.162', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:03,137 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '142.250.199.162', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:03,209 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '142.250.199.162', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:03,290 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '142.250.199.162', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:05,739 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:05,989 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:09,354 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:09,603 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:12,347 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '162.247.243.29', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:12,597 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '162.247.243.29', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:13,741 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
